drug,condition,review,effect,rating
LISINOPRIL,High Blood pressure,"{""Now the feeling like I'm about to pass out is very much worse so I lie down most of the day. Feel so fatigued and with no energy. I was someone who would do my own house cleaning, etc.""}",Started with 2.5 about 8 years ago. Immediately started feeling faint and dizzy. After a TIA this year dosage was increased to 20mg. The feeling like I'm about to pass out and faint much worse,1
LISINOPRIL,Blood pressure,"{'I hate this med but am afraid to come off being my BP went to 210/117 at the hospital and the doctor put me on it. I did try another medication and it was even worse, if you can believe it. Going to talk to my doctor my next appointment and see what to do. I even went to 1/2 of 5mg with no improvement :('}","Dizzy, fatigue, weakness in leg muscles, bp dropping low, ringing in my right ear, stabbing pain in my head.",1
LISINOPRIL,Borderline HBP,"{""Lisinopril caused muffled hearing in my right ear. I had to figure it out myself. ENT was no help except he prescribed steroids which might have helped in preventing the muffled hearing from getting worse. I wish the ENT would have recognized the connection between hearing problems and lisinopril and told me to quit right away. I told my regular doctor I quit the lisinopril. My BP is currently around 136/86 without any medication. Doctor told me to keep it below 140/90. My right ear hearing seems to be 99% back to normal. I hope it's still healing and will return to 100%.""}",Muffled hearing in my right ear was main problem. Occasional cough that lasted about a minute or two at a time was not really a problem.,1
LISINOPRIL,High blood pressure,{''},Very tired and shortness of breath.,1
LISINOPRIL,Misdiagnosed with hbp,{''},"I was on it almost 2 months & been off 2 months & still suffer from side effects. Heart palpitations, chest pains, earaches, throat tightening, body aches, stabbing headaches, fatigue, anxiety, depression, numbness over body. I believe it has lowered my white blood cell count. A nurse at the ER told me that is a bad medicine & it can linger around in the body a while. I'm trying to research ways to detox so I can get this poison out of me. I feel I can't have a normal life & enjoy my family because of these side effects. If anyone know how long it took for them to start feeling better & if you took any natural remedies, please email me. That med is evil & I don't advise anyone to take it.",1
LISINOPRIL,HBP,{'Terrible drug'},Swelling in feet and hands. Dry cough fatigue. Pins and needles in feet and hands. Anyone else had swelling in feet to cause pain when walking?,1
LISINOPRIL,Hypertension,"{""Doctor took me off of lisinopril it's been 4 days still having the crazy side effects! Does anybody know how long the side effects/ last? Do not do not take this poison!!!!!!!""}",Headaches Muscle pain dizziness very tired and fatigued pressure in chest - problems breathing panic attacks felt like I was about to check out of here!!!!!!!,1
LISINOPRIL,High Blood Pressure,"{'Insomnia, numbness and tingling, burning sensation, dizziness, anxiety,'}","I started having severe sinus problems such as ear popping, ringing in ear, and stuffy nose. It has progress since than to dizzy spells, brain fog, TIA symptoms, restless legs, severe anxiety, achy muscles, and an unwell feeling. These symptoms came and went for a year and a half. I finally figured out that all my symptoms have been from this medication. I have only been off of it 5 days and feel a little better. The aches in my muscles are really bad still. Please someone email me back to let me know how long these symptoms will last and if you have experienced anything like this.",1
LISINOPRIL,High blood pressure,"{""And make my sinuses flare up I am top all that off I'm starting to get that awful cough. Do not do not take this medicine !!!!!!""}",Starts off with lowering your blood pressure then Bam side effects discomfort-in chest body aches to the 10th power back arms shoulders headachesAnd make my sinuses flare up I am top all that off I'm starting to get that awful cough.,1
LISINOPRIL,High Blood Pressure,"{""Heres the deal this drug gave me issues with going to the bathroom. It seems to have aggravated my colon. The other problem that hasn't been addressed in this forum is the issue that this drug effects your inner ear. BADLY! after a week of taking it I start having major ringing in my ears! I never had Tinnitus in my life. OMG its so horrible. I immediately stopped taking it. The ringing really really stinks. EEEEEEEE all day long is horrible. I hope this goes away. If it doesnt then I am going to have to learn to live with it. That is really horrible that drugs like this are allowed to be out there that can harm people so badly!""}",This drug did great for me lowering BP,1
LISINOPRIL,High blood pressure,"{""And make my sinuses flare up I am top all that off I'm starting to get that awful cough. Do not do not take this medicine !!!!!!""}",Starts off with lowering your blood pressure then Bam side effects discomfort-in chests body aches to the 10th power back arms shoulders headachesAnd make my sinuses flare up I am top all that off I'm starting to get that awful cough.,1
LISINOPRIL,High blood pressure,{'Have been taking lisinopril (10mg) in conjunction with metoprolol (100 mg) for several years. No side effects whatsoever. The 2 medications keep my blood pressure under control.'},No side effects,5
LISINOPRIL,High blood pressure,"{""It's pure poison. Snake venom from India. If your bottle says Lupin as the manufacturer throw it away.""}","Terrible side effects for my elderly mother; Hair loss, memory loss, brain fog, some confusion, choking in sleep, extreme tiredness. She stopped taking it and has never been the same. She is extra tired, and still hasn't gotten her strength back. She use to be super active.",1
LISINOPRIL,High Blood Pressure,{''},Anxiety and low mood mostly. Can't think straight. low sex drive,2
LISINOPRIL,Hypertension,{''},"I was just recently prescribed Lisiniprol . I started taking it yesterday and last night I felt the weirdest sensation over my body . Weak and clammy feeling and extremely tired . This morning (2nd dosage) my blood pressure dropped pretty low and again feel cold , clammy and weak with a little chest tightness but I have anxiety too. Not sure how long I can keep this up. The Dr. told me to cut the pill in half and drink lots of water .",2
LISINOPRIL,HBP,"{""At first the medication gave me a cough but that subsided with time. It worked for me, but it varies from person to person. My wife took it she coughed a lot more and had to change medications. A word of advice, with this medication, it helps to do cardio as well as stay hydrated, doing this helps reduce the cough. I find that walking or jogging will help eliminate the cough as you will expel the medication through your lungs during exercise. I am on the lowest dose and took my BP from 200/100 to 110's/low 70's most days. I find if I take in more salt my BP will be higher.""}",Cough on occasion,4
LISINOPRIL,HBP,"{""I took this drug five years ago, and I continually keep up with reading on this site. I have been off it for almost five years, and the question I see is how long does it take to feel normal again. I want to tell all of you that my head has NEVER been the same as it was. Think twice before starting it, and if on it, be aware of ANY odd reactions and get off it immediately. If I had quit after my first blackout, I may have recovered. This drug has helped many, but it has also destroyed many. It isn't worth the risk.""}","I had dizziness, blackouts, my brain felt like it was not getting oxygen, paranoia, panic, fatigue, brain swelling, inability to concentrate or even function. This drug has ruined my life. It has taken away my happiness and replaced it with gloom and oppression.",1
LISINOPRIL,Blood pressure,"{""Please don't take this drug not worth your life. Does anyone know how long the side effects will last ?""}","I reluctantly started taking this drug immediately I started having side effects , anxiety attacks, intestinal issues , swelling, depression, blurry vision and drug induced lupus. My life changed completely, I was with full of energy and working out everyday but I barely have energy to walk and do basic things in life. I also developed food allergies and have to carry an Epipen which I never thought would happen to me in life. My life changed completely:(",1
LISINOPRIL,High blood pressure,{'Do not take this!'},Major depression & anxiety. I did not feel like doing anything! Some days I would have pressure on my chest and had troubles breathing because my nose was stuffed up.,1
LISINOPRIL,Hypertension,"{'This has worked great for me. I have hypertension in the family so it was only a matter of time before I was going to need medication. I’ve had elevated bp since I was a teen. Have never been overweight, don’t smoke or drink, have an active life style. My high bp is pearly genetic. Before taking lisinopril my bp average was about 139/85 not real high but not good either. The Dr started me on 10mg after 2 weeks there was almost zero difference. It was raised to 20mg a day I saw a difference almost right away. Now my bp average is about 116/75 . I’ve had zero side effects I feel better now than I have for years. Before the medication I had a tight almost heavy feeling in my chest almost all the time, now that is gone completely.'}",None,5
LISINOPRIL,High blood pressure,{''},"Never have I felt like this. I have been on other medications since I was 23 years old ( genetics). First time on this medicine. Brain fog, memory problem, cognitive issues, cannot sleep, extreme joint and muscle pain. At first doctors thought I was having a stroke and immediately did mri, nope, all good. I have been referred to a neurologist and a rheumatologist. Stopped taking the medicine 3 1/2 weeks ago and symptoms are getting a little bit better. Spent first 2 weeks in bed. I can now help with making dinner, still pretty sore and I get tired. Difficult because my family snd I live a self sufficient life. Animals, garden, canning and all homemade foods. My family has been doing all of my chores. I have not been outside, except to get to the vehicle for doctors appointments . If anyone knows how long it takes to feel normal, please let me know.",1
LISINOPRIL,Hbp,"{'I feel exhausted ..unmotivated.. depressed..everything .muscles, joints just ache..my legs and arms have become weak and i have gained 45 lbs regardless of diet..i have aged 10 years , (since being on this med only 3 years)and my hair is falling out.. dr has ignored my requests to come off this med but im not giving him chouce at next appt..find me something else ! Im done feeling like this i want my life back'}","Muscle weakness to the point my gate is off ..feel unstable,,i started taking 3 years ago when i crushed my wrist and my bp was thru the roof 200/120..they started giving me high intravenous doses of meds but nothing was working..eventually got it down to 150/90 .. i was taking 40 mg lusinopril/ 10 mg amlodipind and hctz.. then i decided to start weaning myself off amlodipine was first to go ..then down to 30 mg lisinopril the less bp meds i took the lower my bp went ..i am down to 10 mg lisinopril now ..im getting off this stuff!",1
LISINOPRIL,Heart failure,{''},Extremely weak and extreme fatigue. Unable to catch my breath doing even minor a activity. Insomnia and high anxiety. Seemed to put me into more failure not improve it. 02 sat dropped to 70 -80 % after 3rd dose.,1
LISINOPRIL,High BP,"{""I'm curious to hear from anyone who takes this drug or has taken it & had these same side effects. Email me..thanks""}","I still take this drug as my bp was constantly 140/110. Now its 126/84 on average so it brought my blood pressure down. However the last several months I've had alot of brain fog, anxiety/panic, focus and concentration issues,as well was memory problems. I've had anxiety issues off and on my whole life but not to this degree. After reading these reviews I'm starting to suspect that these issues are related to this drug. They do not list these symptoms as a common side effect. I'm am going to request a change in meds to see if it helps with these issues.",3
LISINOPRIL,Slightly elevated BP,{''},Body feels like it's got lead weights. Always tired. No motivation. Muscle & joint aches continually. Nasty cough. I don't feel like myself on this med.,1
LISINOPRIL,high blood pressure,"{""I was diagnosed w HPB before having eye surgery. Because I had HBP, I had to see my regular Dr who started me on Lisinopril. After a couple of months on the drug, I started having upper abdominal pain that was so severe I went to urgent care. Drs eliminated everything. Test came back that it wasn't an ulcer. They thought it might be my pancreas (chronic pancreatitis or pancreas cancer). I had a CT scan that revealed nothing - all looked normal. I had an endoscopy & a colonoscopy. Both came back normal as did my blood tests & diet changes to remove all gluten & dairy didn't stop the pain. Dr had me stop taking my anxiety drug & still, the pain persisted. I was so ill that I had stopped exercising, was barely eating. I saw a Dr who thought it might be gut bacteria or candida - it wasn't. One day after I had an especially bad episode of nausea w abdominal pain, it occurred to me that the drs had me stop my anxiety drugs but never had me stop taking Lisinopril. So I stopped. I bought a BP cuff to monitor it myself. Wouldn't you know it - it must have been because for the first time in more than a yr, I don't have pain. I don't have nausea. Every day I feel better than I did the day before. The most shocking part is that I'm not sure I have HBP. I wouldn't recommend Lisinopril to anyone. Thousands of dollars later & so many tests & almost a full yr of misery to the point I thought I'd rather die than live the rest of my life feeling like this & not one""}","stomach pain, nausea, tiredness",2
LISINOPRIL,Hypertension,"{""Second worst drug I've ever tried. Been to ER at least five times in the three months I took it. Lost half my hair in just two weeks. Severe dental decay in short time, non stop ear and sinus issues. Been off of it for two weeks now and feel at least half way back to normal. This stuff is pure poison.""}","Horrible nightmares, hair loss, aching arms, hand and feet cramps, left ear pain and congestion, ringing in ears, tight feeling in jaw and chin/neck area, feeling of throat closing, dry lips and skin, dry mouth, sore gums and dental issues, and extreme non stop fatigue.",1
LISINOPRIL,Hypertension,"{'Instead of my dr considering medication adjustments or changes, she had me try an anti anxiety med that was horrific and is having me undergo further cardiac work- ups. I felt I was going crazy until reading these reviews.'}",Things went pretty well for awhile. Side effects are creeping in. Brain fog. Ringing in ears.acute anxiety attacks. Insomnia. Feeling like I'm shaking inside. Vision issues. Palpitations. Feeling of head fullness. GI issues. Dizziness. Feeling like I will faint.,2
LISINOPRIL,Hypertension,{''},"First 2 weeks I just felt overall horrible and out of it. Started to feel a bit better for a couple of months then boom- weakness, chest discomfort, shortness of breath, worsening anxiety, palpitations, Racing heart, random gagging episodes and insomnia started. Side effects slowly emerged and have made my life miserable for months. My doctor just keeps telling me it's anxiety. I think it's this awful medicine. I have a script for a different med to try but to be honest, I'm too traumatized to take it.",2
LISINOPRIL,Bp,{'Not a good bp med to take!'},"Body aches, low bp, dizziness, headaches, fatigue, foggy brain",1
LISINOPRIL,Protein in urine,{''},Dizziness... headache... fatigue... my body was just weak I woke up numerous times a night which I have never had a problem sleeping the headaches were so bad it felt like a sinus infection but nope it was just from medication the dizziness had me so scared I went to dr and after looking me over came to conclusion I should stop medicine I stop and the next day I wasn't dizzy anymore I'm feeling better everyday after stopping it ... listen to your body and don't be pressured into taking poison,1
LISINOPRIL,hypertension,{'Bad drug! Has any one got off of lisinopril and how did you do it?'},"rapid weight gain, tightening of chest, severe body and joint aches and pain, cloudy brain, lower back pain, shortness of breath, blurred vision, severe pain in my left arm causing restriction to moving it to far up and behind my body, left side of my body seems to ache all the time, face seems tight and swollen, sometimes bad chills, sometimes irregular heartbeat, always tired but bones always aching and incapable to sleep, when waking up body is always aching, frequently using the bathroom at night 2-3 times. I'm really worried about this drug because I've always taken care of my self untill I was assaulted and my daughter sexually assaulted. My stress and high blood pressure skyrocketed because I was wrongfully put in jail for 100 days and my 2 daughters were taken by cps. Jail doctor prescribed me isinopril and when I got out was sentenced a year probation and was now being accused of other bogus allegations by cps. I've gotten my daughters back by doing the impossible but now the lisinopril has taken a toll on me. i need to get off of it. my body has healed as much as it can from the assault; however I'm still trying for justice for my daughter. The system failed my daughters and I. I am grateful to have found a lawyer. In jail you have to take what they prescribed. I know my blood pressure rises from the pain and stress my body went through. when I ran out I felt my heart skip.That scared me. My trying to get of it. It's been really hard because I just won one",1
LISINOPRIL,Blood Pressure Regulating,{'Lisinopril is a DANGEROUS DRUG & SHOULD BE TAKEN OFF THE MARKET'},"Memory loss due to brain fog; SEVERE Choking on liquids as well as food, breathing+sudden clouded chest CT, insomnia, anorexia, SEVERE BRAIN FOG, SEVERE FATIGUE, Weakness, Malaise, Worsened already present bone joint pain. Suddenly, 80% of everyday day in bed UNABLE TO DO SIMPLE TASK (walking my dog, paperwork needed for my rental assistance, unable to focus, severe confusion, blurred vision, BP bounced from too high-too low & back again. Chest pressure & pain. Sudden increase & multiplication of large lipomas on my limbs & torso. Now need physical therapy from muscle wasting from being bed ridden.",1
LISINOPRIL,Hypertension,"{'I was healthy i went to my annual physical, my dr just saw i have HBP and gave me lisinopril 10mg for a month (trial) no side effects. After the trial 3 days later I had chest pain went to ER, the drs there reduced the med to 5mg. a week later ended up at the ER because of palpitations, all the tests were ok nothing wrong, three months later started having horrible back pain and weird muscle feeling tingling etc, seen Ortopedist, Neuro Surgeon, Quiropractor, been in physical theraphy for 2 months and the pain still there,I had MRI xrays nothing wrong. this medicine is poison I was doing great before taking it. now Im thinking in get rid of it on my own this medicine brought me too much pain'}","Horrible Chest/back pain, joints inflammation, no energy, keeps me sleepy",1
LISINOPRIL,,"{'After 2 dosages my skin turned wrinkle and dry, it looked like a bad sunburn. Nothing helped, creams, aloe vera, collagen. I resign myself to the condition after 2 years of trying to reverse the damage. Horrible drug! Do not take it! Please!'}",I aged 10 years overnight.,1
LISINOPRIL,High bp,"{'Horrible drug, lowered my bp so low that I got dizzy, hit my head and passed out. Will not take again'}","Headache, eye problems, nausea, no energy",1
LISINOPRIL,High blood pressure,{'Would considering changing from lisinopril to Losartan but am seriously afraid of starting over with the potential for all new joysome side effects.. Im still deciding.'},"At first i only had itching & small plaque-like sore areas on face and scalp and then my eyes started swelling, enough to make my lower eyelashes stick straight out. I also developed mouth sores fairly quickly but they went away after awhile. My new Dr only r/x'd Me some allergy tablets to combat the reaction since it wasnt really affecting my airway.(i only took it for a week probly) and told Me to stay on the lisinopril which i reluctantly did. Since then ive had 2 increases in dose. Started at 10, went to 20, now at 30 (finally results 136/84) i have had many issues including severe headaches, dizziness, nausea, acid stomach,diarrhea, muscle aches especially in my legs and hips,bad belly pain with or without bms. Ive experienced hundreds&hundreds of full-on sweating episodes(could be from menopause but has gotten worse since starting med)and then also a dreadfull dry-ish cough which at times progresses into a choking type cough, with so far only near vomiting. *Probly Not Covid Guys* but It can literally takes my breath away its so bad!! And it lasts for 3-6 min, sometimes 10 even!!! So Now, this last visit yesterday, my Dr would like me to ""consider"" changing to something else called Losartan? Supposedly less side effects. Kinda sucks that She waited this long to decide to suggest an alternative med. ):( I miss my old Dr sooooooo much.",3
LISINOPRIL,Blood pressure high sometimes,{''},Cough dizziness,3
LISINOPRIL,Heart failure,{''},"All over body swelling, ankles, wrists, knees, insomnia, depression , vision problems. SEVERE leg pain, brain fog. Stopped after 3 weeks. If you take this you will see side effects slowly creep up until you become a physical and mental wreck. Please be good to yourself and stay away.",1
LISINOPRIL,CAD,"{""I've never really had knee pain... Somehow I realized that the pain coincided with me starting to take Lisinopril. I quit the med... it took a while to recover. After a while I thought I would try it again... And the knee pain came back.""}",Serious knee pain.,1
LISINOPRIL,Mild hbp,{'PLEASE DO NOT TAKE THIS!'},"Bloodshot eyes in morn,heavy chest,hard to breathe at times.....This is a horrible med! I have never smoked and my chest felt like I had been a lifelong smoker.....nastyyyy med!",1
LISINOPRIL,high blood pressure,{''},achiness..fatigue..cant get to sleep at night.,3
LISINOPRIL,High blood pressure,"{'I started taking Lisinopril for hp when I started taking this med it took my body about 3weeks to adjust to it I felt tingling in the lower parts of my legs and feet, but after that I felt ok... then about 3weeks ago I started feeling the symptoms (stated above) slowly starting and getting worse about 5 days ago the left side of my throat started to swell and I said no more of this med, I have been off of Lisinopril for 5 days now and about 75% of my symptoms are gone and I feel like I new person.. I still need to talk with a doctor about a new med for my hp but right now I feel better than I have in the past month. P.S. my doctor told me that this was a very safe drug and he wouldn’t put me on it if he wasn’t 100% sure.. lol, as I am stuck in China right now do to the covid-19 outbreak and can not leave the Hubei province but when I get back to America I am going to have a little talk with that dumb doc... the only thing he told me to watch out for was yellowing of the eyes and skin plus dark urine.... My advice to everyone is to stay away from Lisinopril and do your own research on the meds you take don’t just listen to some doctor just because they have “MD” in front of their names....'}","Blurred vision, pain in upper right arm, pain in right cheek and behind right eyes, swelling in left side of throat, pain in the upper inside of legs, pain in back between shoulder blades, headaches, cloudy thoughts, anxiety/depression, just and overwhelming feeling of illness in my body.",1
LISINOPRIL,High blood pressure,{'Comtrols my blood pressure'},"Short of breath, weak. Insomnia",3
LISINOPRIL,High blood pressure,{''},Daily increased chest pain until I woke up one night feeling I was having a full blown heart attack and went to the er. I quit taking the lisinopril but I had burning pain in my chest for a week and went to the er again. Horrible experience. I still feel terrible from taking this drug and hope it is out of my system soon,1
LISINOPRIL,HTN,{''},"Worst drug ever!!!! Legs/arm were weak, HR increased, burning in chest. I believe it caused esophageal spasms as well as anxiety and depression.",1
