drug,condition,review,rating
Lisinopril,For High Blood Pressure:,"“My experience with this drug out of 3 weeks was horrific! It brought my blood pressure down but I developed a really horrible cough that would go away! It was unlike any other coughs I had. My chest felt really tight & my throat was swollen! After I stopped I immediately got better, it’s only been a week & still coughing away! This drug is more dangerous than having a high blood pressure. I now switch to homeopathic traditional medicine, it slowly works but it won’t give you any horrible side effects...”","
1 "
Lisinopril,For High Blood Pressure:,“Been taking this drug lisinopril @ 10mg for a few years now for HBP. I’m 58 now. Blood pressure was 145/90 range and waited a year or so before Dr convinced me to try. No side effects and bp of 130/75 range now. Nothing but good things to say.”,"
9 "
Lisinopril,For High Blood Pressure:,"“It works great for lowering blood pressure and generally made me feel better. For about three weeks. Then the side effects kicked in. I started coughing so hard that I saw stars and would nearly pass out - felt like there was hair stuck in my throat all the time. Then my nose started running like a faucet and my sinuses swelled, endless sneezing and runny nose day and night that was absolutely relentless. I thought it was a cold or allergies but it just wouldn't stop. Until I stopped taking lisinopril. I had severe insomnia and felt like I was constantly detoxing due to all the inflammation. It's a shame because this can be a very effective drug with excellent benefits, but I suspect it may be due in part to the awful generics we're forced to take. The cough stopped and I no longer felt constantly ill about 2 days after quitting. No way I could endure it long term, it was really starting to wreck me.”","
3 "
Lisinopril,For High Blood Pressure:,"“I've been on 20mg of lisinopril for several years now. I found that it significantly reduced my BP at each doctors visit, so I was happy with that for a while. I've had some stomach issues for a while now, as well as a cough that didn't go away. Just nagging, not constant. I also had dry patches of skin on my forehead. I decided to research the side effects since I was on no other meds. After my research, I stopped the lisinopril on my own. After about 1 week, my stomach feels better, my cough is gone, and my skin is clearing up. I also feel more energetic and not as ""down"" as I had been feeling. I'll take my chances without it.”","
5 "
Lisinopril,For High Blood Pressure:,"“I have been using Lisinopril 10mg for about a year. Initially I had dry coughing day and night (not to the extreme where it kept me awake at night), but enough that I thought I had an allergy or common cold and then after reading the information on this site I found that coughing is a common symptom with this drug. I also had blurred vision, cramps in my feet and hands and some headaches too, but after including an hour of combined aerobics and stretching exercises 3-4 days per week most of the symptoms are now reduced to the occasional headaches. Taking the pill with plenty of water and with food also reduced the blurred vision.  In a year I have lost about 35lbs. Blood pressure and cholesterol levels are normal and my doctor has recently lowered my dosage from 10 to 5mg. ”","
7 "
Lisinopril,For High Blood Pressure:,"“I've been taking Lisinopril for 4 years. I did have a slight dry cough when I started, but it's mostly gone. However, two years ago I developed a pain in my abdomen on the left side about 10th rib. It would come and go, but it was always there. It's been more less constant for two years. And for two years my doctor's have ignored my please for help, and one nurse practitioner said, ""what do you want me to do about it"". I finally read about angioedema of the small bowl causing pain. So I stopped taking the Lisinopril and the pain immediately went away after 3 days. While on Lisinopril and amlodipine I  never got my BP below 
130/80 consistently. So I wonder if they are really worth it? Living in constant pain. I also blame the fact that I'm on Medicaid and believe I get sub par health Care. My doctor never questioned the possibility that my pain was from the meds. His standard line was the pain you have is worth the risk. I don't think so.”","
5 "
Lisinopril,For High Blood Pressure:,"“I've been on 5 mg of Lisinopril for over 2 years.  I never developed the cough or nasal drip that others have had.  I did have joint pain which would come and go.  Lisinopril is great at controlling my BP.  I'm an otherwise-healthy 5'3"" 125 pound 47 yo female and my BP diastolic would not stay below 90.  Typical BP was 140/98.  So, I've taken 5 mg of Lisinopril for 2 years.  But, I'm exhausted ALL the time, no appetite, severe abdominal pain, constant nausea and bloating/constipation when I do eat.  I'm miserable (has been like this for 6 mo)!! On a whim, I stopped the Lisinopril 3 days ago.  I'm not exhausted anymore.  My appetite is back. Still have pain and nausea though.”","
6 "
Lisinopril,For High Blood Pressure:,"“I don't even want to give this drug one star! I started taking this medication back in June of 2016 for only about 3 weeks and I am still having side effects to this day! My whole life changed over night. I started having heart palpitations, extreme dizziness, I lost close to 30 lbs, hair lose, swollen nose, lip, and eye, pains/pressure in the top and back of head, shortness of breathe, blurred vision, weakness, nausea, pains in my stomach, night sweats, and leg cramps, entire body felt shaky ( and I'm pretty sure I'm missing some things). Numerous trips to the ER and 8 different doctors to basically be told they don't know whats wrong with me. Take my advice and do not take this.”","
1 "
Lisinopril,For High Blood Pressure:,"“I've been on 5mg Lisinopril (the little pink pills manufactured by Lupin Pharm) for 5 or more years. My BP was well managed, then Walgreens changed the manufacturer/supplier of the 5mg pills to Solco Healthcare--a Zhejiang Huahai (China) Pharma company. I immediately saw a rise in my bp which culminated with a trip to the ER with 191/119 bp...no other changes in my life. Zhejiang has a history of using unacceptable 'binding' materials  in their pills. I'm on a quest to find out if Walgreens has some business connection with Solco. These are unacceptable.”",1
Lisinopril,For High Blood Pressure:,"“After trying “norvasc” and having bad side effects, Dr put me on Lisinopril 10mg. Knowing that I am sensitive to medications, I cut the pill in half so I have been taking 5mg. My blood pressure is down to 105/65 and I feel great!! I guess I did not realize how bad I felt with high BP, until I treated it and can look back and say ‘wow’. It was affecting me greatly. It took about 3 days for the lisinopril to build up and start working, I check my BP twice daily. It was dropping slowly every day, but the third day was the day it finally came down to 105/65. Anyways, I have had absolutely zero side effects on Lisinopril. I read all these bad reviews and I know everyone responds differently, but this one is a winner for me. On top of it all, my insurance copay was $1.60. lol. No complaints here. Thought I would share a GOOD experience, seeing people usually come here only when they have a bad one.”","
10 "
Lisinopril,For High Blood Pressure:,"“Prescribed isinopril for borderline High Blood Pressure 10mg. Initially left me feeling very weak and extremely lethargic and sleepy/tired.  Back to doc for follow up, they advise this was my body adjusting and getting used to blood pressure being in a normal range. Blood pressure better, but wow the side effects were not good at all.  Side effects were heart palpitations, extreme fatigue, generally feeling of being unwell and sick. Flu like symptoms and over production of phlegm, numbness and tingling in hands and feet. Discharge in my eyes and lessened my quality of life. At 25 day mark I decided to try cutting pills in half, to wean myself off.  The first day off I was already starting to feel better. After coming off, some days I've felt decent, but still struggle with the withdrawal side effects.  The cough, and nausea.  I've changed my diet for the better and only drink water. Glad to find message boards to share this info to let others they are not alone.”","
2 "
Lisinopril,For High Blood Pressure:,"“Lowering your blood pressure is incredibly important but the side effects make you feel so awful on this stuff.

It causes an allergic type reaction. I constantly have a postnasal drip, dry cough, lungs feel bad. I feel exhausted and sick on this stuff. And it is a very repeatable test.

Also, it depletes your zinc. Which allows strep bacteria to grow, holes in your gut, among tons of problems. 

Telmistartan makes me feel fantastic. Never again Lisinoprol. I feel like I've lost 3 weeks of my life in a lousy feeling haze. So annoyed it takes me this long to figure it out.”","
1 "
Lisinopril,For High Blood Pressure:,“Worst experience ever. Took 10mg lisinopril for 3 days. Felt like I was dying. Went to the emergency room and my bp was 190/120. In my life I have never tested above 150/95 - on nothing. Normally I stay lower than that. I will never take this shit again. Thanks”,"
1 "
Lisinopril,For High Blood Pressure:,"“I started Lisinopril in February, so about 10 months ago. 20mg per day, one per day when I woke up for high BP. Exactly three months to the day of when I took the first one I woke up from a nap incredibly dizzy. I had just refilled my meds the day before so I started the new bottle that morning. Same manufacturer. I was so dizzy I felt like the room was spinning and laying down made it worse. I waited until it passed two days later and made an appointment with my PCP. After CT, MRI, blood work, EKG, topamax, meloxicam, a muscle relaxer, two different types of vertigo diagnosis, I came upon this forum. My symptoms were dizziness, neck and back tension, blood pressure dropping when standing, tingling in my face and arms, anxiety and fatigue. All of this since May. I stopped Lisinopril three days ago. I’m already feeling somewhat better. I just hope I’m back to myself once it’s all out of my system. I don’t recommend it.”","
1 "
Lisinopril,For High Blood Pressure:,"“I've been taking lisinopril for 3 years manufactured by lupin , all the sudden pill changed and now a different manufacturer solco, my blood pressure shot to 165/100 , not all lisinopril are the same side effects different things it has been good with lupin .”","
7 "
Lisinopril,For High Blood Pressure:,"“I have been taken lisopril for about  10 years .  I started off with 20mg. The was increased to 40 mg.
These last few years I have lost a most all my hair, I have ED, I cough my head off, I fell off the ladder at work and I passed at work and damaged my knee.
So I started to do research on this drug and came across all these site effects.  That I was never told about from my doctor or pharmacist.  Why is this?
As of the last two month I am drug free of these drugs and I have gone on ton Ultra CoQ10 and Hypertrol to control my blood pressure plus a diet change. Fruits, veggies, nuts...”","
1 "
Lisinopril,For High Blood Pressure:,"“I have been on this lisinopril  medication about a month and a half and it has helped my blood pressure so much. At my last doctors appointment it was 117/78. It has never been that low. However, as soon as I started the medicine I had a horrible cough. I went and got tested for covid, I’ve been on antibiotics and had chest X-rays because the urgent thought I had some kind of virus. I finally went into my primary care and right away they knew it was the Lisinopril. I would have never put the 2 together. Although it has helped my blood pressure there is no way I can cough like this on a daily basis. It has really affected my life. I have had a hard time taking care of my kids and I’m so exhausted from coughing and not sleeping.”","
1 "
Lisinopril,For High Blood Pressure:,“Started taking Lisinopril 5 mg from Lupin in 2018. My blood pressure starting going crazy in October 2020 and steadily got worse. I was back at my doctor in December.  She suggested I check the manufacturer of the drug. I checked my Walgreens printouts for the manufacturer of the Lisinopril I was taking. Sure enough the manufacturer changed in September to Solco. There were some reviews online which discussed my symptoms--on Lupin bp fine and then changed to Solco and blood pressure went up.  I am back on Lisinopril by Lupin and was advised by my doctor to notify Walgreens.  Will not take Solco again!  The rating below is based on the Solco and not the Lupin.”,"
2 "
Lisinopril,For High Blood Pressure:,"“My Doctor prescribed Lisinopril for my high BP but I was stubborn and didn't take it for a year. Needless to say, my Dr. was not happy and finally convinced me. I cautiously waited for side effects to occur but no noticeable ones ever did.
I bought a BP monitor soon after starting the med. and it was soon under control. Good luck to everyone - if not with this med, hopefully with another one that they can use successfully.”","
10 "
Lisinopril,For High Blood Pressure:,"“Liver damaged by a decade of my 
Insurer formulary Valsartan 
manufactured by Solco and coming from China. Lisinopril manufactured
by Legacy and a Lupin, origin India, product is quickly damaging my kidneys. We need drugs developed
and manufactured in the United States.
Unannounced, thorough, and strict
well funded FDA inspections. Brand name medications at a fair price.”","
2 "
Lisinopril,For High Blood Pressure:,"“I was on LIsinopril for total of 6 months, with constant disruptive cough,  horrific sputum and spitting.  MD said keep taking it because it ""was not Lisinopril"".  However a chest x-ray 3 months before starting it was entirely negative.  A chest x-ray taken after 6 months on Lisinopril showed inflammation, scarring, and nodules.
I took myself off Lisinopril and the coughing and spitting stopped after 4 days.  But I am still left with permanent lung scarring and nodules that need followup.  And doctors who still say it is not Lisinopril.  Why?”","
1 "
Lisinopril,For High Blood Pressure:,"“47, female, my BP was 145/90 so doc said meds.

Chlorthalidone for 5 months and apart from a mild dry cough I was okay but felt some weight gain might be a result despite being diuretic.

Doc puts me on linospril. Within days I had a worse cough, joints have started aching, back and hips hurt for no reason, and even worse, I’ve had allergic reactions three times in a month where my eyes and cheeks swell up and hurt and burn (angiodema). I couldn’t figure out what was causing these weird flares but each time I took Benadryl and it would subside in a day or two. I started researching causes of “rapid, itching, burning face and eye swelling” and ACE inhibitors like Linospril were some of the first results that popped up. One study said up to 30% of patients taking it have had reactions!

I know others they have no issue. But the high rate of anaphylaxis and allergic reaction should be carefully considered by all as apparently it can develop at any time, days, months or years in.....”","
1 "
Lisinopril,For High Blood Pressure:,"“I was on it for 2 years and the quality of my life deteriorated. When I began losing my hair I looked up the side effects of this and I found I must have been one who was very intolerant to it.  I had the hacking cough, runny nose, my voice was hoarse, muscle cramps at night,  incontinence, lethargy, thin brittle fingernails, and insomnia. I stopped taking it and all those symptoms are gone. I had seen doctors about these symptoms but they dismissed them.”","
3 "
Lisinopril,For High Blood Pressure:,"“Worst ever. I was already on another BP drug but my DR said it was still too high. Put me on lisinopril 3 weeks ago. Doing ok. A week ago, I went to my mom's house -she is 70 yrs old, been a nurse forever and is currently an ADON at a nursing home. She immediately said, you have the ""linsiprol cough"". Folks, I am 53 yrs old, I have never coughed liked this in my life. It has made me cry, brought me to my knees, etc. Needless to say. If you are already starting the dry cough, stop taking it”","
1 "
Lisinopril,For High Blood Pressure:,"“Started with lisinopril for high blood at 10mg didn't really lower my blood pressure so my Dr upped it to 20mg, was on it less than a week and a cough was keeping me awake,  then I began with headaches,  dizziness. I didn't think of side effects because some of these symptoms are associated with the high blood pressure.  I got worse with the coughing, itchiness,  pain in my stomach.  So I decided to look up side effects before thinking that I was really sick.  I have taken myself off the medication.”","
4 "
Lisinopril,For High Blood Pressure:,"“My experience with this drug out of 3 weeks was horrific! It brought my blood pressure down but I developed a really horrible cough that would go away! It was unlike any other coughs I had. My chest felt really tight & my throat was swollen! After I stopped I immediately got better, it’s only been a week & still coughing away! This drug is more dangerous than having a high blood pressure. I now switch to homeopathic traditional medicine, it slowly works but it won’t give you any horrible side effects...”","
1 "
Lisinopril,For High Blood Pressure:,“Been taking this drug lisinopril @ 10mg for a few years now for HBP. I’m 58 now. Blood pressure was 145/90 range and waited a year or so before Dr convinced me to try. No side effects and bp of 130/75 range now. Nothing but good things to say.”,"
9 "
Lisinopril,For High Blood Pressure:,"“It works great for lowering blood pressure and generally made me feel better. For about three weeks. Then the side effects kicked in. I started coughing so hard that I saw stars and would nearly pass out - felt like there was hair stuck in my throat all the time. Then my nose started running like a faucet and my sinuses swelled, endless sneezing and runny nose day and night that was absolutely relentless. I thought it was a cold or allergies but it just wouldn't stop. Until I stopped taking lisinopril. I had severe insomnia and felt like I was constantly detoxing due to all the inflammation. It's a shame because this can be a very effective drug with excellent benefits, but I suspect it may be due in part to the awful generics we're forced to take. The cough stopped and I no longer felt constantly ill about 2 days after quitting. No way I could endure it long term, it was really starting to wreck me.”","
3 "
Lisinopril,For High Blood Pressure:,"“I've been on 20mg of lisinopril for several years now. I found that it significantly reduced my BP at each doctors visit, so I was happy with that for a while. I've had some stomach issues for a while now, as well as a cough that didn't go away. Just nagging, not constant. I also had dry patches of skin on my forehead. I decided to research the side effects since I was on no other meds. After my research, I stopped the lisinopril on my own. After about 1 week, my stomach feels better, my cough is gone, and my skin is clearing up. I also feel more energetic and not as ""down"" as I had been feeling. I'll take my chances without it.”","
5 "
Lisinopril,For High Blood Pressure:,"“I have been using Lisinopril 10mg for about a year. Initially I had dry coughing day and night (not to the extreme where it kept me awake at night), but enough that I thought I had an allergy or common cold and then after reading the information on this site I found that coughing is a common symptom with this drug. I also had blurred vision, cramps in my feet and hands and some headaches too, but after including an hour of combined aerobics and stretching exercises 3-4 days per week most of the symptoms are now reduced to the occasional headaches. Taking the pill with plenty of water and with food also reduced the blurred vision.  In a year I have lost about 35lbs. Blood pressure and cholesterol levels are normal and my doctor has recently lowered my dosage from 10 to 5mg. ”","
7 "
Lisinopril,For High Blood Pressure:,"“I've been taking Lisinopril for 4 years. I did have a slight dry cough when I started, but it's mostly gone. However, two years ago I developed a pain in my abdomen on the left side about 10th rib. It would come and go, but it was always there. It's been more less constant for two years. And for two years my doctor's have ignored my please for help, and one nurse practitioner said, ""what do you want me to do about it"". I finally read about angioedema of the small bowl causing pain. So I stopped taking the Lisinopril and the pain immediately went away after 3 days. While on Lisinopril and amlodipine I  never got my BP below 
130/80 consistently. So I wonder if they are really worth it? Living in constant pain. I also blame the fact that I'm on Medicaid and believe I get sub par health Care. My doctor never questioned the possibility that my pain was from the meds. His standard line was the pain you have is worth the risk. I don't think so.”","
5 "
Lisinopril,For High Blood Pressure:,"“I've been on 5 mg of Lisinopril for over 2 years.  I never developed the cough or nasal drip that others have had.  I did have joint pain which would come and go.  Lisinopril is great at controlling my BP.  I'm an otherwise-healthy 5'3"" 125 pound 47 yo female and my BP diastolic would not stay below 90.  Typical BP was 140/98.  So, I've taken 5 mg of Lisinopril for 2 years.  But, I'm exhausted ALL the time, no appetite, severe abdominal pain, constant nausea and bloating/constipation when I do eat.  I'm miserable (has been like this for 6 mo)!! On a whim, I stopped the Lisinopril 3 days ago.  I'm not exhausted anymore.  My appetite is back. Still have pain and nausea though.”","
6 "
Lisinopril,For High Blood Pressure:,"“I don't even want to give this drug one star! I started taking this medication back in June of 2016 for only about 3 weeks and I am still having side effects to this day! My whole life changed over night. I started having heart palpitations, extreme dizziness, I lost close to 30 lbs, hair lose, swollen nose, lip, and eye, pains/pressure in the top and back of head, shortness of breathe, blurred vision, weakness, nausea, pains in my stomach, night sweats, and leg cramps, entire body felt shaky ( and I'm pretty sure I'm missing some things). Numerous trips to the ER and 8 different doctors to basically be told they don't know whats wrong with me. Take my advice and do not take this.”","
1 "
Lisinopril,For High Blood Pressure:,“I take Lisinopril 20mg 2x a day. It has saved my life. My BP is now regulated and has slowed the hardening of my heart walls. This med is good for me and I've only experienced one side affect dizziness occasionally.”,"
10 "
Lisinopril,For High Blood Pressure:,"“Doc put me on 10mg.  I developed what seemed like sciatic nerve pain.  Every morning when getting out of bed for the day I had pain in my left buttocks, thigh, down my calf & tingling into my foot.  After being up for an hour or so, the pain subsided & I could pretty much do what I wanted.  I also noticed I was easily fatigued & felt somewhat depressed.  Doc increased the dose to 20mg daily after 6 months.  Then the sciatic pain in the morning increased to nearly unbearable. I had no energy.  I was ready to see an Orthopedic Dr when I checked on line for severe side effects of Lisinopril.  I was stunned - joint, nerve & sciatic pain.  Hair loss, weight gain, depression, cough, fatigue & etc.  I stopped the med. & now feeling great.”","
3 "
Lisinopril,Zestril (lisinopril) for High Blood Pressure:,“I started taking Lisinopril and was fine then one day I got them refilled and for the next week I was so tired I could barely get out of bed. I was told they changed the place where the pharmacy got the meds which probably meant was a different formula because the pills look different. I requested name brand Zestril even though they were more expensive. I felt 100% better! No more generic for me!”,1
Lisinopril,For High Blood Pressure:,"“My blood pressure was 150's/100's. My doctor did not want to prescribe Altace which worked in the past. The prescription he gave me was 20mg Lisinopril with 12.5mg of hydrochlorothiazide. My blood pressure has reduced to 120's/80's. My blood pressure does fluctuate sometimes to 90/70. I then become very dizzy. I have been experiencing extreme muscle fatigue especially in my shoulders, neck, arms and jaw muscles along with the tongue. When eating my jaws become quite cramped. My heart rate jumps up to about 130 at times. I find myself needing to take large breaths at times. Any physical exertion brings dizziness and fatigue within an hour or so. ”","
6 "
Lisinopril,For High Blood Pressure:,"“Took lisinopril for two days.  Woke up after first day of taking it and my right eye was swollen. After second day of taking it woke again to swollen eye . Also developed tingly sensation in my forearms, hands and feet. Experienced numbness in my fingers and pain in my wrists. Felt as if I drank a bunch of caffeine -- heart was racing and felt very nervous. Called my doctor who said he didn't think it was the lisinopril but I told him it was the only new thing happening. I've just stopped . Pharmacist said it will take 48 hours for the two pills to be out of my system. ”","
1 "
Lisinopril,For High Blood Pressure:,"“This medicine was horrible.  It immediately gave me neck, back and shoulder tightness and discomfort.  I couldn't breathe fully on it, so I was unable to exercise like normal.  And worse, it did not lower my BP.  In fact, it seemed to have the reverse affect.  I got off this in a week.  I hear others do well on this drug, but it surely did not work for me.”","
1 "
Lisinopril,For High Blood Pressure:,"“I'm a 52 Hispanic male, started lisinopril 10mg seven days ago, blood pressure was 150/80 before starting medicines, last couple of days it's been 111/73 and 110/72 but last night I blacked out and fell to the ground, my wife say's I shook before falling, I told her before passing out that I didn't feel well. Paramedics think I ""bottomed out"" and to tell my doctor and he'll probably change it from 10mg. It was scary, thought I saw the ""white light"", I'm losing weight too, maybe too fast. Anyway I'm hoping he'll let me not take them at all and just let me try with my lifestyle changes.”","
8 "
Lisinopril,For High Blood Pressure:,"“I have been taking 10 mg lisinopril for BP for a few months after trying a few others which gave me terrible back pain. My back pain  on lisinopril is  bearable, but the dry cough and runny nose have become intolerable. 3 days ago, I started taking 3 teaspoons of organic Apple cider vinegar (with the Mother included) with lukewarm water in the morning, and it seems to eliminate a lot of the phlegm in my lungs, thus less coughing and hacking. If this keeps on working, will continue with lisinopril, otherwise I will have to try some other medication. It's the nitric oxide produced by this pill that irritates the lungs, apparently. I wish the pharmaceutical companies would take this into consideration.”","
5 "
Lisinopril,For High Blood Pressure:,"“It does lower the blood pressure, sometimes too much. But beware of the side effects - after being on the medication for almost two years I developed fast heart beat, chest pains, shortness of breath, depression, dizziness not upon standing up but simply while working at my desk, stomach pains, bad heartburn. The dry cough was pretty annoying, too. Been off of it for 5 days and most of the side effects are gone.”","
6 "
