drug,condition,review,rating,effect,full_review,reviewLength,textBolbSubjectivity,textBolbPolarity,textBolbSentiment,vaderPolarity,vaderSentiment
Lisinopril,For High Blood Pressure,"doctor prescribed lisinopril high bp stubborn didnt take year. needless say, dr. happy finally convinced me. cautiously waited side effects occur noticeable ones ever did. bought bp monitor soon starting med. soon control. good luck everyone - med, hopefully another one use successfully.",5,,"My Doctor prescribed Lisinopril for my high BP but I was stubborn and didnt take it for a year. Needless to say, my Dr. was not happy and finally convinced me. I cautiously waited for side effects to occur but no noticeable ones ever did.
I bought a BP monitor soon after starting the med. and it was soon under control. Good luck to everyone - if not with this med, hopefully with another one that they can use successfully.",288,0.7414285714285714,0.27285714285714285,Poitive,0.9382,Poitive
Lisinopril,For High Blood Pressure,"liver damaged decade insurer formulary valsartan manufactured solco coming china. lisinopril manufactured legacy lupin, origin india, product quickly damaging kidneys. need drugs developed manufactured united states. unannounced, thorough, strict well funded fda inspections. brand name medications fair price.",1,,"Liver damaged by a decade of my 
Insurer formulary Valsartan 
manufactured by Solco and coming from China. Lisinopril manufactured
by Legacy and a Lupin, origin India, product is quickly damaging my kidneys. We need drugs developed
and manufactured in the United States.
Unannounced, thorough, and strict
well funded FDA inspections. Brand name medications at a fair price.",310,0.5666666666666668,0.37777777777777777,Poitive,0.0,Negative
Lisinopril,For High Blood Pressure,"lisinopril total months, constant disruptive cough, horrific sputum spitting. md said keep taking lisinopril. however chest x-ray months starting entirely negative. chest x-ray taken months lisinopril showed inflammation, scarring, nodules. took lisinopril coughing spitting stopped days. still left permanent lung scarring nodules need followup. doctors still say lisinopril. why?",1,,"I was on LIsinopril for total of 6 months, with constant disruptive cough,  horrific sputum and spitting.  MD said keep taking it because it was not Lisinopril.  However a chest x-ray 3 months before starting it was entirely negative.  A chest x-ray taken after 6 months on Lisinopril showed inflammation, scarring, and nodules.
I took myself off Lisinopril and the coughing and spitting stopped after 4 days.  But I am still left with permanent lung scarring and nodules that need followup.  And doctors who still say it is not Lisinopril.  Why?",381,0.4305555555555555,-0.21666666666666667,Negative,-0.9117,Negative
Lisinopril,For High Blood Pressure,", female, bp doc said meds. chlorthalidone months apart mild dry cough okay felt weight gain might result despite diuretic. doc puts linospril. within days worse cough, joints started aching, back hips hurt reason, even worse, i’ve allergic reactions three times month eyes cheeks swell hurt burn (angiodema). couldn’t figure causing weird flares time took benadryl would subside day two. started researching causes “rapid, itching, burning face eye swelling” ace inhibitors like linospril first results popped up. one study said% patients taking reactions! know others issue. high rate anaphylaxis allergic reaction carefully considered apparently develop time, days, months years in.....",1,,"47, female, my BP was 14590 so doc said meds.

Chlorthalidone for 5 months and apart from a mild dry cough I was okay but felt some weight gain might be a result despite being diuretic.

Doc puts me on linospril. Within days I had a worse cough, joints have started aching, back and hips hurt for no reason, and even worse, I’ve had allergic reactions three times in a month where my eyes and cheeks swell up and hurt and burn (angiodema). I couldn’t figure out what was causing these weird flares but each time I took Benadryl and it would subside in a day or two. I started researching causes of “rapid, itching, burning face and eye swelling” and ACE inhibitors like Linospril were some of the first results that popped up. One study said up to 30% of patients taking it have had reactions!

I know others they have no issue. But the high rate of anaphylaxis and allergic reaction should be carefully considered by all as apparently it can develop at any time, days, months or years in.....",689,0.5158333333333333,-0.00923611111111112,Negative,-0.9359,Negative
Lisinopril,For High Blood Pressure," years quality life deteriorated. began losing hair looked side effects found must one intolerant it. hacking cough, runny nose, voice hoarse, muscle cramps night, incontinence, lethargy, thin brittle fingernails, insomnia. stopped taking symptoms gone. seen doctors symptoms dismissed them.",1,,"I was on it for 2 years and the quality of my life deteriorated. When I began losing my hair I looked up the side effects of this and I found I must have been one who was very intolerant to it.  I had the hacking cough, runny nose, my voice was hoarse, muscle cramps at night,  incontinence, lethargy, thin brittle fingernails, and insomnia. I stopped taking it and all those symptoms are gone. I had seen doctors about these symptoms but they dismissed them.",291,0.8500000000000001,-0.4,Negative,-0.7096,Negative
Lisinopril,For High Blood Pressure,"worst ever. already another bp drug dr said still high. put lisinopril weeks ago. ok. week ago, went moms house -she yrs old, nurse forever currently adon nursing home. immediately said, linsiprol cough. folks yrs old, never coughed liked life. made cry, brought knees, etc. needless say. already starting dry cough, stop taking",1,,"Worst ever. I was already on another BP drug but my DR said it was still too high. Put me on lisinopril 3 weeks ago. Doing ok. A week ago, I went to my moms house -she is 70 yrs old, been a nurse forever and is currently an ADON at a nursing home. She immediately said, you have the linsiprol cough. Folks, I am 53 yrs old, I have never coughed liked this in my life. It has made me cry, brought me to my knees, etc. Needless to say. If you are already starting the dry cough, stop taking it",328,0.534,-0.010666666666666663,Negative,-0.8602,Negative
Lisinopril,For High Blood Pressure,"started lisinopril high blood didnt really lower blood pressure dr upped, less week cough keeping awake, began headaches, dizziness. didnt think side effects symptoms associated high blood pressure. got worse coughing, itchiness, pain stomach. decided look side effects thinking really sick. taken medication.",2,,"Started with lisinopril for high blood at 10mg didnt really lower my blood pressure so my Dr upped it to 20mg, was on it less than a week and a cough was keeping me awake,  then I began with headaches,  dizziness. I didnt think of side effects because some of these symptoms are associated with the high blood pressure.  I got worse with the coughing, itchiness,  pain in my stomach.  So I decided to look up side effects before thinking that I was really sick.  I have taken myself off the medication.",309,0.46730158730158733,-0.12682539682539684,Negative,-0.9155,Negative
Lisinopril,For High Blood Pressure,"experience drug weeks horrific! brought blood pressure developed really horrible cough would go away! unlike coughs had. chest felt really tight & throat swollen! stopped immediately got better, it’s week & still coughing away! drug dangerous high blood pressure. switch homeopathic traditional medicine, slowly works won’t give horrible side effects...",1,,"My experience with this drug out of 3 weeks was horrific! It brought my blood pressure down but I developed a really horrible cough that would go away! It was unlike any other coughs I had. My chest felt really tight & my throat was swollen! After I stopped I immediately got better, it’s only been a week & still coughing away! This drug is more dangerous than having a high blood pressure. I now switch to homeopathic traditional medicine, it slowly works but it won’t give you any horrible side effects...",353,0.6675714285714285,-0.3238214285714286,Negative,-0.962,Negative
Lisinopril,For High Blood Pressure,taking drug lisinopril years hbp. i’m now. blood pressure range waited year dr convinced try. side effects bp range now. nothing good things say.,4,,Been taking this drug lisinopril @ 10mg for a few years now for HBP. I’m 58 now. Blood pressure was 14590 range and waited a year or so before Dr convinced me to try. No side effects and bp of 13075 range now. Nothing but good things to say.,145,0.6000000000000001,0.7,Poitive,-0.2278,Negative
Lisinopril,For High Blood Pressure,"works great lowering blood pressure generally made feel better. three weeks. side effects kicked in. started coughing hard saw stars would nearly pass - felt like hair stuck throat time. nose started running like faucet sinuses swelled, endless sneezing runny nose day night absolutely relentless. thought cold allergies wouldnt stop. stopped taking lisinopril. severe insomnia felt like constantly detoxing due inflammation. shame effective drug excellent benefits, suspect may due part awful generics forced take. cough stopped longer felt constantly ill days quitting. way could endure long term, really starting wreck me.",1,,"It works great for lowering blood pressure and generally made me feel better. For about three weeks. Then the side effects kicked in. I started coughing so hard that I saw stars and would nearly pass out - felt like there was hair stuck in my throat all the time. Then my nose started running like a faucet and my sinuses swelled, endless sneezing and runny nose day and night that was absolutely relentless. I thought it was a cold or allergies but it just wouldnt stop. Until I stopped taking lisinopril. I had severe insomnia and felt like I was constantly detoxing due to all the inflammation. Its a shame because this can be a very effective drug with excellent benefits, but I suspect it may be due in part to the awful generics were forced to take. The cough stopped and I no longer felt constantly ill about 2 days after quitting. No way I could endure it long term, it was really starting to wreck me.",625,0.6069444444444444,0.0074074074074074086,Poitive,0.4827,Poitive
Lisinopril,For High Blood Pressure,"ive lisinopril several years now. found significantly reduced bp doctors visit, happy while. ive stomach issues now, well cough didnt go away. nagging, constant. also dry patches skin forehead. decided research side effects since meds. research, stopped lisinopril own week, stomach feels better, cough gone, skin clearing up. also feel energetic feeling. ill take chances without it.",2,,"Ive been on 20mg of lisinopril for several years now. I found that it significantly reduced my BP at each doctors visit, so I was happy with that for a while. Ive had some stomach issues for a while now, as well as a cough that didnt go away. Just nagging, not constant. I also had dry patches of skin on my forehead. I decided to research the side effects since I was on no other meds. After my research, I stopped the lisinopril on my own. After about 1 week, my stomach feels better, my cough is gone, and my skin is clearing up. I also feel more energetic and not as down as I had been feeling. Ill take my chances without it.",384,0.6453703703703704,0.24537037037037038,Poitive,0.8875,Poitive
Lisinopril,For High Blood Pressure,"using lisinopril year. initially dry coughing day night (not extreme kept awake night), enough thought allergy common cold reading information site found coughing common symptom drug. also blurred vision, cramps feet hands headaches too, including hour combined aerobics stretching exercises days per week symptoms reduced occasional headaches. taking pill plenty water food also reduced blurred vision. year lost. blood pressure cholesterol levels normal doctor recently lowered dosage.",3,,"I have been using Lisinopril 10mg for about a year. Initially I had dry coughing day and night (not to the extreme where it kept me awake at night), but enough that I thought I had an allergy or common cold and then after reading the information on this site I found that coughing is a common symptom with this drug. I also had blurred vision, cramps in my feet and hands and some headaches too, but after including an hour of combined aerobics and stretching exercises 3-4 days per week most of the symptoms are now reduced to the occasional headaches. Taking the pill with plenty of water and with food also reduced the blurred vision.  In a year I have lost about 35lbs. Blood pressure and cholesterol levels are normal and my doctor has recently lowered my dosage from 10 to 5mg. ",487,0.5694444444444444,-0.11712962962962964,Negative,-0.25,Negative
Lisinopril,For High Blood Pressure,"ive taking lisinopril years. slight dry cough started, mostly gone. however, two years ago developed pain abdomen left side rib. would come go, always there. less constant two years. two years doctors ignored please help, one nurse practitioner said, want it. finally read angioedema small bowl causing pain. stopped taking lisinopril pain immediately went away days. lisinopril amlodipine never got bp consistently. wonder really worth it? living constant pain. also blame fact im medicaid believe get sub par health care. doctor never questioned possibility pain meds. standard line pain worth risk. dont think so.",2,,"Ive been taking Lisinopril for 4 years. I did have a slight dry cough when I started, but its mostly gone. However, two years ago I developed a pain in my abdomen on the left side about 10th rib. It would come and go, but it was always there. Its been more less constant for two years. And for two years my doctors have ignored my please for help, and one nurse practitioner said, what do you want me to do about it. I finally read about angioedema of the small bowl causing pain. So I stopped taking the Lisinopril and the pain immediately went away after 3 days. While on Lisinopril and amlodipine I  never got my BP below 
13080 consistently. So I wonder if they are really worth it? Living in constant pain. I also blame the fact that Im on Medicaid and believe I get sub par health Care. My doctor never questioned the possibility that my pain was from the meds. His standard line was the pain you have is worth the risk. I dont think so.",616,0.2964285714285714,0.05714285714285715,Poitive,-0.9362,Negative
Lisinopril,For High Blood Pressure,"ive mg lisinopril years. never developed cough nasal drip others had. joint pain would come go. lisinopril great controlling bp. im otherwise-healthy pound yo female bp diastolic would stay. typical bp. so, ive taken mg lisinopril years. but, im exhausted time, appetite, severe abdominal pain, constant nausea bloatingconstipation eat. im miserable (has like mo)!! whim, stopped lisinopril days ago. im exhausted anymore. appetite back. still pain nausea though.",3,,"Ive been on 5 mg of Lisinopril for over 2 years.  I never developed the cough or nasal drip that others have had.  I did have joint pain which would come and go.  Lisinopril is great at controlling my BP.  Im an otherwise-healthy 53 125 pound 47 yo female and my BP diastolic would not stay below 90.  Typical BP was 14098.  So, Ive taken 5 mg of Lisinopril for 2 years.  But, Im exhausted ALL the time, no appetite, severe abdominal pain, constant nausea and bloatingconstipation when I do eat.  Im miserable (has been like this for 6 mo)!! On a whim, I stopped the Lisinopril 3 days ago.  Im not exhausted anymore.  My appetite is back. Still have pain and nausea though.",463,0.49444444444444446,-0.13518518518518519,Negative,-0.9732,Negative
Lisinopril,For High Blood Pressure,"dont even want give drug one star! started taking medication back june weeks still side effects day! whole life changed night. started heart palpitations, extreme dizziness, lost close lbs, hair lose, swollen nose, lip, eye, painspressure top back head, shortness breathe, blurred vision, weakness, nausea, pains stomach, night sweats, leg cramps, entire body felt shaky ( im pretty sure im missing things). numerous trips er different doctors basically told dont know whats wrong me. take advice take this.",1,,"I dont even want to give this drug one star! I started taking this medication back in June of 2016 for only about 3 weeks and I am still having side effects to this day! My whole life changed over night. I started having heart palpitations, extreme dizziness, I lost close to 30 lbs, hair lose, swollen nose, lip, and eye, painspressure in the top and back of head, shortness of breathe, blurred vision, weakness, nausea, pains in my stomach, night sweats, and leg cramps, entire body felt shaky ( and Im pretty sure Im missing some things). Numerous trips to the ER and 8 different doctors to basically be told they dont know whats wrong with me. Take my advice and do not take this.",507,0.5356837606837608,0.022435897435897443,Poitive,-0.565,Negative
Lisinopril,For High Blood Pressure,take lisinopril day. saved life. bp regulated slowed hardening heart walls. med good ive experienced one side affect dizziness occasionally.,5,,I take Lisinopril 20mg 2x a day. It has saved my life. My BP is now regulated and has slowed the hardening of my heart walls. This med is good for me and Ive only experienced one side affect dizziness occasionally.,140,0.5416666666666666,0.5,Poitive,0.6908,Poitive
Lisinopril,For High Blood Pressure,"doc put. developed seemed like sciatic nerve pain. every morning getting bed day pain left buttocks, thigh, calf & tingling foot. hour so, pain subsided & could pretty much wanted. also noticed easily fatigued & felt somewhat depressed. doc increased dose daily months. sciatic pain morning increased nearly unbearable. energy. ready see orthopedic dr checked line severe side effects lisinopril. stunned - joint, nerve & sciatic pain. hair loss, weight gain, depression, cough, fatigue & etc. stopped med. & feeling great.",1,,"Doc put me on 10mg.  I developed what seemed like sciatic nerve pain.  Every morning when getting out of bed for the day I had pain in my left buttocks, thigh, down my calf & tingling into my foot.  After being up for an hour or so, the pain subsided & I could pretty much do what I wanted.  I also noticed I was easily fatigued & felt somewhat depressed.  Doc increased the dose to 20mg daily after 6 months.  Then the sciatic pain in the morning increased to nearly unbearable. I had no energy.  I was ready to see an Orthopedic Dr when I checked on line for severe side effects of Lisinopril.  I was stunned - joint, nerve & sciatic pain.  Hair loss, weight gain, depression, cough, fatigue & etc.  I stopped the med. & now feeling great.",523,0.4425925925925926,0.2314814814814815,Poitive,-0.8869,Negative
Lisinopril,Zestril (lisinopril) for High Blood Pressure,started taking lisinopril fine one day got refilled next week tired could barely get bed. told changed place pharmacy got meds probably meant different formula pills look different. requested name brand zestril even though expensive. felt% better! generic me!,1,,I started taking Lisinopril and was fine then one day I got them refilled and for the next week I was so tired I could barely get out of bed. I was told they changed the place where the pharmacy got the meds which probably meant was a different formula because the pills look different. I requested name brand Zestril even though they were more expensive. I felt 100% better! No more generic for me!,259,0.41111111111111115,0.021296296296296296,Poitive,0.3365,Poitive
Lisinopril,For High Blood Pressure,"blood pressure. doctor want prescribe altace worked past. prescription gave lisinopril hydrochlorothiazide. blood pressure reduced. blood pressure fluctuate sometimes. become dizzy. experiencing extreme muscle fatigue especially shoulders, neck, arms jaw muscles along tongue. eating jaws become quite cramped. heart rate jumps times. find needing take large breaths times. physical exertion brings dizziness fatigue within hour so.",3,,"My blood pressure was 150s100s. My doctor did not want to prescribe Altace which worked in the past. The prescription he gave me was 20mg Lisinopril with 12.5mg of hydrochlorothiazide. My blood pressure has reduced to 120s80s. My blood pressure does fluctuate sometimes to 9070. I then become very dizzy. I have been experiencing extreme muscle fatigue especially in my shoulders, neck, arms and jaw muscles along with the tongue. When eating my jaws become quite cramped. My heart rate jumps up to about 130 at times. I find myself needing to take large breaths at times. Any physical exertion brings dizziness and fatigue within an hour or so. ",432,0.5642857142857143,-0.03214285714285715,Negative,-0.8481,Negative
Lisinopril,For High Blood Pressure,"took lisinopril two days. woke first day taking right eye swollen. second day taking woke swollen eye . also developed tingly sensation forearms, hands feet. experienced numbness fingers pain wrists. felt drank bunch caffeine -- heart racing felt nervous. called doctor said didnt think lisinopril told new thing happening. ive stopped . pharmacist said take hours two pills system.",1,,"Took lisinopril for two days.  Woke up after first day of taking it and my right eye was swollen. After second day of taking it woke again to swollen eye . Also developed tingly sensation in my forearms, hands and feet. Experienced numbness in my fingers and pain in my wrists. Felt as if I drank a bunch of caffeine -- heart was racing and felt very nervous. Called my doctor who said he didnt think it was the lisinopril but I told him it was the only new thing happening. Ive just stopped . Pharmacist said it will take 48 hours for the two pills to be out of my system. ",382,0.42059884559884564,0.26201298701298703,Poitive,-0.8126,Negative
Lisinopril,For High Blood Pressure,"medicine horrible. immediately gave neck, back shoulder tightness discomfort. couldnt breathe fully it, unable exercise like normal. worse, lower bp. fact, seemed reverse affect. got week. hear others well drug, surely work me.",1,,"This medicine was horrible.  It immediately gave me neck, back and shoulder tightness and discomfort.  I couldnt breathe fully on it, so I was unable to exercise like normal.  And worse, it did not lower my BP.  In fact, it seemed to have the reverse affect.  I got off this in a week.  I hear others do well on this drug, but it surely did not work for me.",227,0.6064814814814815,-0.20833333333333334,Negative,-0.6249,Negative
Lisinopril,For High Blood Pressure,"im hispanic male, started lisinopril seven days ago, blood pressure starting medicines, last couple days last night blacked fell ground, wife says shook falling, told passing didnt feel well. paramedics think bottomed tell doctor hell probably change. scary, thought saw white light, im losing weight too, maybe fast. anyway im hoping hell let take let try lifestyle changes.",4,,"Im a 52 Hispanic male, started lisinopril 10mg seven days ago, blood pressure was 15080 before starting medicines, last couple of days its been 11173 and 11072 but last night I blacked out and fell to the ground, my wife says I shook before falling, I told her before passing out that I didnt feel well. Paramedics think I bottomed out and to tell my doctor and hell probably change it from 10mg. It was scary, thought I saw the white light, Im losing weight too, maybe too fast. Anyway Im hoping hell let me not take them at all and just let me try with my lifestyle changes.",375,0.32916666666666666,0.012500000000000004,Poitive,-0.9532,Negative
Lisinopril,For High Blood Pressure,"taking mg lisinopril bp months trying others gave terrible back pain. back pain lisinopril bearable, dry cough runny nose become intolerable days ago, started taking teaspoons organic apple cider vinegar (with mother included) lukewarm water morning, seems eliminate lot phlegm lungs, thus less coughing hacking. keeps working, continue lisinopril, otherwise try medication. nitric oxide produced pill irritates lungs, apparently. wish pharmaceutical companies would take consideration.",2,,"I have been taking 10 mg lisinopril for BP for a few months after trying a few others which gave me terrible back pain. My back pain  on lisinopril is  bearable, but the dry cough and runny nose have become intolerable. 3 days ago, I started taking 3 teaspoons of organic Apple cider vinegar (with the Mother included) with lukewarm water in the morning, and it seems to eliminate a lot of the phlegm in my lungs, thus less coughing and hacking. If this keeps on working, will continue with lisinopril, otherwise I will have to try some other medication. Its the nitric oxide produced by this pill that irritates the lungs, apparently. I wish the pharmaceutical companies would take this into consideration.",486,0.3361111111111111,-0.19722222222222222,Negative,-0.8481,Negative
Lisinopril,For High Blood Pressure,"lower blood pressure, sometimes much. beware side effects - medication almost two years developed fast heart beat, chest pains, shortness breath, depression, dizziness upon standing simply working desk, stomach pains, bad heartburn. dry cough pretty annoying, too days side effects gone.",3,,"It does lower the blood pressure, sometimes too much. But beware of the side effects - after being on the medication for almost two years I developed fast heart beat, chest pains, shortness of breath, depression, dizziness not upon standing up but simply while working at my desk, stomach pains, bad heartburn. The dry cough was pretty annoying, too. Been off of it for 5 days and most of the side effects are gone.",287,0.5779761904761905,-0.10208333333333332,Negative,-0.9403,Negative
Lisinopril,For High Blood Pressure,"started taking medication giving birth baby mos ago. works wonderful blood pressure, feel aweful. feel dizzy, light headed times, aches pains left arm pain chest pain thought heart attack. numbness tingling extremities. im mg need change dont feel good side effects.",4,,"Started taking this medication after giving birth to my baby 7 mos ago. It works wonderful on my blood pressure 201170 to 11685, but I feel aweful. I feel dizzy, light headed at times, aches and pains left arm pain and chest pain I thought I was having a heart attack. Now I have numbness and tingling to my extremities. Im only on 10 mg but I need a change I dont feel good with all these side effects.",266,0.575,0.5249999999999999,Poitive,-0.9326,Negative
